,time,average,price
155,2021-5-12-12,0.11724019202349094,0.491133
156,2021-5-12-13,0.07284133000918275,0.492882
157,2021-5-12-14,0.10778619241104558,0.493542
158,2021-5-12-15,0.0996070127383337,0.499943
159,2021-5-12-16,0.10829344906672712,0.508953
160,2021-5-12-17,0.1688127819480846,0.50439
161,2021-5-12-18,0.1608729577654867,0.500378
162,2021-5-12-19,0.11452277647287275,0.493062
163,2021-5-12-20,0.12566807145873088,0.496949
164,2021-5-12-21,0.11810872904885283,0.49443400000000004
165,2021-5-12-22,0.1197077560416052,0.49195600000000006
166,2021-5-12-23,0.12036176156189604,0.48958500000000005
168,2021-5-13-1,0.11942942328954313,0.45332700000000004
169,2021-5-13-2,0.12499017376311844,0.46753100000000003
170,2021-5-13-3,0.13220705281554587,0.436321
171,2021-5-13-4,0.1822869399827417,0.463736
172,2021-5-13-5,0.1683791468550346,0.467609
173,2021-5-13-6,0.2956821465345929,0.46821999999999997
174,2021-5-13-7,0.25097218825656586,0.45199399999999995
175,2021-5-13-8,0.18509168508354307,0.43163100000000004
176,2021-5-13-9,0.1512366195952086,0.420587
177,2021-5-13-10,0.13236889656900697,0.429331
178,2021-5-13-11,0.12184199871356173,0.44942299999999996
179,2021-5-13-12,0.12405623213978914,0.429522
180,2021-5-13-13,0.11084003756017843,0.44334399999999996
181,2021-5-13-14,0.13099493400284964,0.44163
182,2021-5-13-15,0.15201809564201324,0.43823599999999996
183,2021-5-13-16,0.19623797855073682,0.431745
184,2021-5-13-17,0.19346059721036038,0.418163
185,2021-5-13-18,0.14271038587601323,0.394687
186,2021-5-13-19,0.1426274702115019,0.401156
187,2021-5-13-20,0.1114466516002962,0.39763899999999996
188,2021-5-13-21,0.11180153413749543,0.40881
189,2021-5-13-22,0.11541561839656406,0.418649
190,2021-5-13-23,0.07865691612326932,0.427158
192,2021-5-14-1,0.10603450624087823,0.412554
193,2021-5-14-2,0.11586496542362677,0.38925
194,2021-5-14-3,0.113660898826807,0.38403699999999996
