WA,112.97,-35.13,129,-13.69
NT,129,-26,138,-10.97
SA,129,-38.06,141,-26
QLD,137.996,-29.1779,153.5522,-9.1422
VIC,140.96,-39.16,149.98,-33.98
NSW,141,-37.51,159.11,-28.16
TAS,143.82,-43.74,148.5,-39.2
